000.06623569,+08.00723437,*,184.4,28.0,-1.6
000.09809390,+02.67547768,*,471.6,131.2,-0.6
000.22045719,+66.84796687,*,245.6,35.3,24.9
000.39020229,+44.67544581,*,146.4,18.1,-9.6
000.39647681,+28.42377416,*,272.1,48.0,-21.9
000.40024110,+72.23660619,*,203.0,26.3,9.3
000.42864226,+24.25318080,*,182.6,25.0,-17.7
000.45374866,+66.30600204,*,63.7,2.9,2.1
000.57381667,+60.70319460,*,377.9,67.0,-17.8
000.80532807,+17.55239698,*,162.5,16.3,-23.8
000.87642718,+19.38157170,*,535.3,144.5,-21.8
000.88875927,+42.35221969,*,197.5,32.8,-58.6
001.04272795,+49.87020726,*,192.9,34.6,-5.6
001.15607578,+02.93722463,*,270.3,67.3,9.9
001.17432297,+67.16638761,*,99.5,5.7,1.0
001.39547600,+53.17169568,*,314.7,51.6,-3.3
001.48628758,+24.56904604,*,199.1,27.1,-9.4
001.50224247,+28.27696051,*,350.5,77.3,-9.0
001.51336417,+24.91664125,*,188.2,20.7,-19.4
001.58393383,+40.89871965,*,121.7,11.1,22.6
001.81025436,+20.55571109,*,378.5,109.4,-20.3
001.84365756,+26.45088655,*,110.4,10.0,-71.0
001.90698995,+40.07851976,*,188.0,20.8,-6.1
002.19110187,+14.14205698,*,237.8,38.2,-0.4
002.20832630,+40.49456869,*,370.0,82.0,-8.3
002.21695394,+25.46285169,*,129.3,12.6,6.6
002.31906353,+65.07079864,*,59.7,2.4,4.5
002.46856966,+12.71084240,*,306.6,100.3,-3.1
002.52286733,+25.19788575,*,357.1,87.1,1.6
002.61150772,+28.65292193,*,312.1,72.7,-10.1
002.63506952,+33.13088570,*,226.9,37.5,10.9
002.66362432,+02.30067277,*,428.5,126.7,36.9
002.78289623,+57.58791462,*,221.4,30.7,19.2
002.81532971,+07.94816079,*,315.9,89.6,15.3
002.84178323,+74.48458019,*,169.9,18.0,-19.4
002.99596734,+48.15237121,*,174.1,20.1,-2.4
003.00550041,+23.47174032,*,148.5,15.6,-12.6
003.02849022,+47.49116017,*,162.6,21.6,-18.1
003.03640453,+48.18225854,*,333.4,75.6,-6.3
003.06609863,+22.55671394,*,354.7,77.7,13.4
003.14910495,+44.31628232,*,185.6,19.9,8.8
003.18847272,+57.22755962,*,469.3,113.2,-16.7
003.26924809,+37.41863959,*,262.9,59.3,-9.3
003.28963960,+16.92165199,*,140.2,14.1,-40.9
003.30454895,+20.75280824,*,298.7,73.2,-30.3
003.41100419,+42.94939358,*,229.4,32.2,2.6
003.44829323,+01.38362257,*,331.9,66.5,-2.4
003.51062401,+76.02699728,*,277.3,32.3,-9.7
003.65045047,+20.20669720,*,102.4,7.8,25.0
003.77828112,+33.03049687,*,186.7,32.1,3.3
